ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status,Would_Sync_To_Shopify
9780755501472,Wrong,FLOOD CIARA,FARSHO,,16.99,0,active,YES
9781250181985,You Cant Spell Truth Without Ruth - An Unauthorized Collection Of Witty And Wise Quotes From The Queen Of Supreme Ruth Bader Ginsburg,ZAIA MARY,STMART,,22.99,0,active,YES
9781781576533,You Will Be Able to Draw by the End of this Book - Ink,SPICER JAKE,ILEX,,34.99,0,active,YES
50MMDICE,Foam Dice 50mm  - Assorted Colours,,KOPLOW,,4.5,22,not in WEBLIST,no
9414740978610,Joyful Colour,,AVAINT,,7.99,6,not in WEBLIST,no
9781872970707,Sweat And Toil - The Building of New Zealand,MCLEAN JOHN,WINTER,,40.0,3,not in WEBLIST,no
9781872970400,Voyages Of The Pioneers To New Zealand 1839-85,MCLEAN JOHN,WINTER,,40.0,2,not in WEBLIST,no
9781872970486,Kingite Rebellion,ROBINSON JOHN,TROSS,,40.0,1,not in WEBLIST,no
9781911658009,One Size Does Not Fit All,JANSEN LISA,MORMED,,39.99,1,not in WEBLIST,no
9780099436720,Open Secret - The Autobiography of the Former Director-General of MI5,RIMINGTON STELLA,ARROW,,29.99,1,not in WEBLIST,no
9780957630888,Phantom Self - And How To Find The Real One,ICKE DAVID,DAVICK,,50.0,1,not in WEBLIST,no
9780198425618,!Claro! 2 Audio CDs,WESTON TONY,OXFORD,,350.99,0,not in WEBLIST,no
9780141989426,12 Rules For Life - An Antidote to Chaos AUDIO,PETERSON JORDAN B,PENGUI,,50.0,0,not in WEBLIST,no
