isbn,title,bookscan_maincat,bookscan_subcat,bic_code,bic_tag,assessment,tags_to_add
9781836740070,Destruction of Palestine Is the Destruction of the Earth,History And Politics,History,JPVR,Politics,ADD_SECONDARY,Politics
9781805464525,Being Jewish After the Destruction of Gaza,History And Politics,History,JPVH,Politics,ADD_SECONDARY,Politics
9781464239007,Boyfriend,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781464242113,Crash,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781464242106,Ward D,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780861549160,Lobbying for Zionism on Both Sides of the Atlantic,History And Politics,History,JPSL,Politics,ADD_SECONDARY,Politics
9780008636555,And He Shall Appear,Fiction,Science Fiction and Fantasy,FK,Horror,ADD_SECONDARY,Horror
9780861544028,Lobbying for Zionism on Both Sides of the Atlantic,History And Politics,History,JPSL,Politics,ADD_SECONDARY,Politics
9780349131108,Costanza,Fiction,General Fiction,FV,Historical Fiction,RECLASSIFY,Historical Fiction
9798888430514,Delinquent Daddy and Tender Teacher Vol. 2: Basking in Sunlight,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9798888433485,Delinquent Daddy and Tender Teacher Vol 3 - Four-Leaf Clovers,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9780349441672,Wild Side - 3 Road Hill,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781685797652,Grandmaster of Demonic Cultivation - Mo Dao Zu Shi (The Comic / Manhua) Vol. 5,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781685797768,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (The Comic / Manhua) Vol. 6,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9780241753699,Not Quite Dead Yet,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9780691227115,As Gods Among Men - A History Of The Rich In The West,Sciences,Business,KCZ,Economics,ADD_SECONDARY,Economics
9781784751838,Conclave,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781597115537,Im So Happy You Are Here - Japanese Women Photographers From The 1950s To Now,The Arts,Art,AJC,Photography,ADD_SECONDARY,Photography
9780349442495,Beyond What is Given,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9781867225614,Town Like Clarence,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9780473724467,Genius of Industrial Property - Build Passive Wealth And Secure Retirement Through Industrial Property Investing,Sciences,Business,KFFR,Economics,ADD_SECONDARY,Economics
9783967041842,Touch - New Edition - Spaces Designed for the Senses,The Arts,Art,AMB,Architecture,ADD_SECONDARY,Architecture
9783967041743,Creative Homes - Interiors and Design in the Netherlands,The Arts,Art,AMK,Architecture,ADD_SECONDARY,Architecture
9788499366579,Slow Living,The Arts,Art,AMK,Architecture,ADD_SECONDARY,Architecture
9780091957759,Last British Dambuster - One Mans Extraordinary Life And The Raid That Changed History,History And Politics,History,BGHA,Biography,ADD_SECONDARY,Biography
9781421585116,My Hero Academia - 4,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781974749645,My Hero Academia - 39,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781974745845,My Hero Academia - 38,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781789467512,Oasis- Whats The Story - Life On Tour With Liam And Noel Gallagher,The Arts,Music And Performing Arts,BM,Biography,ADD_SECONDARY,Biography
9780593524404,You - The Story - A Writers Guide To Craft Through Memory,Reference,General,CBW,Languages,RECLASSIFY,Languages
9781911545750,Future of the Novel,Reference,General,DSK,Classics,RECLASSIFY,Classics
9781591168522,One Piece - 7,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781591161844,One Piece - 3,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781591160571,One Piece - 2,Fiction,Graphic Novels,FXA,Manga,ADD_SECONDARY,Manga
9781835622759,Call of Cthulhu and Other Stories,Fiction,Classics,FK,Horror,ADD_SECONDARY,Horror
9781835622742,Frankenstein,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9781835622766,Dr Jekyll and Mr Hyde,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9781835622773,Dracula,Fiction,Classics,FKC,Horror,ADD_SECONDARY,Horror
9781399057264,I Worked on Spitfires - The Memoirs of a Member of RAF Groundcrew and his Part in the Victory in Europe,History And Politics,History,BM,Biography,ADD_SECONDARY,Biography
9781529413847,SAS Forged In Hell - From Desert Rats to Dogs of War: The Second in the Blair 'Paddy' Mayne Trilogy,History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9781804546185,Mystery Of Yew Tree House,Fiction,Historical Fiction,FFH,Crime Fiction,ADD_SECONDARY,Crime Fiction
9780861548095,Great White Bard - How To Love Shakespeare While Talking About Race,Reference,General,DSB,Classics,RECLASSIFY,Classics
9781800752917,Moscow X - 2 Damascus Station,Fiction,Crime Fiction,FHD,Thriller,ADD_SECONDARY,Thriller
9781761632594,Against The Water - A Surfing Champions Inspirational Journey To Olympic Glory,Sport,General Sport And Fitness,BGA,Biography,ADD_SECONDARY,Biography
9781805330349,Demian - Story Of Emil Sinclairs Youth,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9781925106251,My Promised Land - The Triumph and Tragedy of Israel,History And Politics,History,JP,Politics,ADD_SECONDARY,Politics
9780241699584,My Brilliant Career,Fiction,General Fiction,FC,Classics,RECLASSIFY,Classics
9780140268867,Odyssey,Fiction,Classics,DCF,Poetry,ADD_SECONDARY,Poetry
9781529429428,SAS Great Escapes Two - Six Untold Epic Escapes Made by World War Two Heroes,History And Politics,History,BGH,Biography,ADD_SECONDARY,Biography
9780241719114,How To Photograph Absolutely Everything,The Arts,Art,AJG,Photography,ADD_SECONDARY,Photography
9781761381102,I Leave It Up to You,Fiction,General Fiction,FRD,Romance,RECLASSIFY,Romance
9780702268908,Nightmare Sequence,History And Politics,History,JPVH,Politics,ADD_SECONDARY,Politics
9781925849226,Immortal Gestures - journeys in the unspoken,Reference,General,JFFP,Sociology,RECLASSIFY,Sociology
9798888903155,Perfect Victims - And The Politics Of Appeal,History And Politics,History,JPVH,Politics,ADD_SECONDARY,Politics
9780730394617,Xero For Dummies,Sciences,Business,KFC,Economics,ADD_SECONDARY,Economics
9781804990728,Surgeon - 1 Rizzoli and Isles,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781804991268,Apprentice - 2 Rizzoli and Isles,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781804991312,Vanish - 5 Rizzoli and Isles,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781035015795,Strangers in Time,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781761566714,Light At Lavelle,Fiction,Historical Fiction,FR,Romance,ADD_SECONDARY,Romance
9781471179037,Rules of Prey - 1 Prey,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
9781405941631,Inner Darkness - 3 The Cold Case Quartet,Fiction,Crime Fiction,FH,Thriller,ADD_SECONDARY,Thriller
