CSTATUS,ISBN,Title,Author,Publisher,Department,Sell_Price,Stock_OnHand,WEBLIST_Status
OSI,9781922179630,Stray - 2,CRAW RACHAEL,WALKER,,21.99,0,not in WEBLIST
OSI,9781618371966,Things You Should Know How To Do,HEARST,HEARST,,14.99,0,not in WEBLIST
OSI,602394031761,Vampire - Magnetic Poetry,MAGNETIC POETRY,MAGNET,,29.0,0,not in WEBLIST
OSI,9781250024183,Vengeance - 5 Quirke,BLACK BENJAMIN,POIBLA,,19.99,0,not in WEBLIST
OSI,028947794608,Villazon Verdi,VILLAZON ROLANDO,MARBE,,17.5,0,not in WEBLIST
OSI,9781406310948,Were Going On A Bear Hunt - Book And CD,ROSEN MICHAEL,WALKER,,21.99,0,not in WEBLIST
OSI,9781946022257,Winter Love,HAN SUYIN,MCNALL,,45.0,0,not in WEBLIST
OSI,9781869509255,Yes,BURNSIDE DEBORAH,HARPNZ,,23.0,0,not in WEBLIST
OSI,602394030313,Yoyo - Magnetic Poetry Design,MAGNETIC POETRY,MAGNET,,21.99,0,not in WEBLIST
PBA,9780008519889,BOT,WALLIAMS DAVID,HARPCO,,29.99,0,active
PBA,9780393707618,8 Keys to Trauma and Addiction Recovery,NAJAVITS LISA M,NORTON,,40.0,0,not in WEBLIST
PBA,9781846556302,Back To Back,FRANCK JULIA,HARVIL,,35.0,0,not in WEBLIST
PBA,9781472142139,Barbarians - Rebellion and Resistance to the Roman Empire,KERSHAW STEPHEN P,ROBINS,,27.99,0,not in WEBLIST
PBA,9781788682985,Beautiful World Australia,LONELY PLANET,LONGLO,,34.99,0,not in WEBLIST
PBA,9781776950744,Bone People - Popular Penguin,HULME KERI,PENGNZ,,15.99,0,not in WEBLIST
PBA,9780415475280,Colloquial Hebrew,LYTTLETON ZIPPY,ROUTLE,,0.0,0,not in WEBLIST
PBA,9781771606516,Dancing with the Abyss,WYLIE KEN,ROCMOU,,49.99,0,not in WEBLIST
PBA,DEADAIM,Dead Aim - 10,LANSDALE JOE,INGRAM,,0.0,0,not in WEBLIST
PBA,9781787632790,Hope I Get Old Before I Die -  Why rock stars never retire,HEPWORTH DAVID,BANTAM,,40.0,0,not in WEBLIST
PBA,9781848317246,Introducing Overcoming Depression,FURNESS-SMITH PATRICIA,ICON,,0.0,0,not in WEBLIST
PBA,9781472126856,Lost Girls Love War and Literature - 1939-51,TAYLOR DJ,CONSTA,,37.99,0,not in WEBLIST
PBA,9780241444146,Magic of Sleep And The Science Of Dreams,WOODGATE VICKY,DKCHIL,,24.0,0,not in WEBLIST
PBA,9780375971396,Red Winter - 5 Tapestry,NEFF HENRY,RANDOM,,0.0,0,not in WEBLIST
PBA,9781416986782,Strange Fate - Night World 10 - Publication ABANDONED,SMITH L J,SIMPUL,,0.0,0,not in WEBLIST
PBA,9781911545323,Witches Are Coming,WEST LINDY,MELVIL,,27.99,0,not in WEBLIST
PBD,9781988538273,Amazing Machines Down Under,STEVE REID,BATEMA,,0.0,0,active
PBD,9781775541837,How to Escape from Prison,WOOD PAUL,HARPNZ,,29.99,0,active
PBD,9781460766774,Researchers First Murder - The new literary puzzle,FINNEMORE JOHN,HARAUS,,22.99,0,active
PBD,9781775534679,Baboomfa! Hunting Tales From Around The World,HUGHES DAVEY,RANDOM,,0.0,0,not in WEBLIST
PBD,9781780222318,Blue Dreams,LEONARD ELMORE,******,,0.0,0,not in WEBLIST
PBD,9781775542063,Dying To Know,DOBSON LIZ,HARPNZ,,0.0,0,not in WEBLIST
PBD,5SWORDOFSHADO,Sword Of Shadows - 5,JONES J V,ORBIT,,60.0,0,not in WEBLIST
PBD,9780575088511,Thorn Of Emberlain - 4 The Gentleman Bastard Sequence,LYNCH SCOTT,GOLLAN,,37.99,0,not in WEBLIST
PBD,9780987667588,Through To The End - The History Of 487 NZ Squadron RAF,PALMER DAVID / NEEVEN AAD,JOHNDO,,85.0,0,not in WEBLIST
PBD,9781593279622,Unofficial Lego Builders Guide - 3rd Edition,BEDFORD ALLAN,MISCEL,,48.0,0,not in WEBLIST
PBD,9781849705318,Warmaster,ABNETT DAN,GAMWOR,,0.0,0,not in WEBLIST
PDR,9780473244996,Little Truff and the Siamese Cat - 2 Little Truff,RUSSELL ANN,AMPUBL,,23.0,0,active
PDR,9781738599479,Orion Rising,PAWLEY CHARD,NINHOU,,0.0,0,active
PDR,978099413493,Architects At The Apex,MEW GEOFF / HUMPHRIS ADRIAN,NGAIO,,0.0,0,not in WEBLIST
PDR,9780959789218,Cancer Conspiracy - What You Must Know About the Worst Plague in Human,JEFFREYS TONI,CRONES,,30.0,0,not in WEBLIST
PDR,EVERYTHINGI,Everything I Am,BROUGHTON NEAVIN,MISCEL,,0.0,0,not in WEBLIST
PDR,9780473135225,Footsteps Of Fire - 1 Ngati Dread,GILLIES ANGUS,ROGMON,,29.9,0,not in WEBLIST
PDR,9780473669393,Is New Zealand A Fortunate Country,MAIDEN COLIN,PRIPUB,,74.99,0,not in WEBLIST
PDR,9780473203092,Little Truff - 1 Little Truff,RUSSELL ANN,AMPUBL,,23.0,0,not in WEBLIST
PDR,9780473151645,No Dreadlocks No Cry - 2 Ngati Dread,GILLIES ANGUS,ROGMON,,29.9,0,not in WEBLIST
PDR,9780473195021,Revelations - 3 Ngati Dread,GILLIES ANGUS,ROGMON,,30.0,0,not in WEBLIST
PUA,9780571398478,Torchfire,BUFFINI MOIRA,FABER&,,29.99,0,active
PUA,9780241683965,Billy And The Epic Escape - 2 Billy,OLIVER JAMIE,PUFFUK,,0.0,0,not in WEBLIST
PUA,9780241461846,Life On A Knifes Edge -  A Brain Surgeons Reflections on Life Loss And Survival,JANDIAL RAHUL,PENLIF,,26.0,0,not in WEBLIST
PUA,9781398510630,Preloved,BRAVO LAUREN,SIMON&,,0.0,0,not in WEBLIST
PUA,9780008394660,Snow Widows - Scotts Fatal Antarctic Expedition By The Women They Left Behind,MACINNES KATHERINE,WILCOL,,37.99,0,not in WEBLIST
WFC,MAYSERI5,5 May Series,JOHNSTON PHYLLIS,PRIPUB,,29.9,0,not in WEBLIST
